Country,Totallife,Malelife,Femalelife,S2016Rural,S2016Urban,S2016Total,W2016Rural,W2016Urban,W2016Total,S2010Rural,S2010Urban,S2010Total,W2010Rural,W2010Urban,W2010Total,S2000Rural,S2000Urban,S2000Total,W2000Rural,W2000Urban,W2000Total
Rwanda,68,66.1,69.9,68,53,65,52,82,57,59,57,58,48,77,53,42,63,45,41,71,45
Saint Lucia,75.6,73,78.3,91,78,88,98,98,98,88,80,87,94,97,95,81,83,82,87,93,88
Saint Vincent and the Grenadines,72,69.4,74.9,0,0,87,0,0,95,0,0,83,0,0,95,0,0,71,0,0,93
Samoa,75.1,72,78.4,98,99,98,97,100,97,98,99,98,94,95,94,97,99,98,92,90,92
Sao Tome and Principe,68.7,66.7,70.7,31,48,43,77,87,84,24,40,34,70,81,77,14,26,20,58,71,65
Saudi Arabia,74.8,73.5,76.5,0,0,100,0,0,100,0,0,99,0,0,99,0,0,98,0,0,97
Senegal,66.8,64.7,68.7,39,65,51,69,92,79,32,65,46,57,91,72,23,63,39,40,89,60
Serbia,76.3,73.8,78.9,95,99,98,88,83,86,95,98,97,92,88,90,94,96,95,97,93,95
Seychelles,73.3,69,78,0,0,100,0,0,96,0,0,98,0,0,96,0,0,94,0,0,93
Sierra Leone,53.1,52.5,53.8,8,25,15,49,75,60,7,23,13,39,73,52,5,20,10,24,68,40
Singapore,82.9,80.8,85,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100
Slovakia,77.4,73.8,80.9,97,99,98,100,100,100,97,99,98,98,99,99,97,99,98,97,99,98
Slovenia,80.9,78,83.7,99,99,99,99,100,100,99,99,99,99,100,100,99,99,99,99,100,100
Solomon Islands,71.1,69.7,72.7,19,78,33,62,91,69,16,70,27,69,91,74,13,62,20,76,90,79
Somalia,55.4,53.7,57.3,19,60,37,27,81,51,13,53,29,21,69,40,7,45,20,4,50,20
South Africa,63.6,60.2,67,73,76,75,80,99,92,61,74,69,75,99,90,42,71,59,66,98,85
South Sudan,58.6,57.7,59.6,5,34,10,36,63,41,0,0,0,0,0,0,0,0,0,0,0,0
Spain,83.1,80.3,85.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Sri Lanka,75.3,72.1,78.5,95,94,95,87,97,89,92,87,91,83,96,85,85,85,85,76,95,80
Sudan,65.1,63.4,66.9,24,60,36,53,74,60,17,50,28,44,67,52,11,40,21,35,60,43
Suriname,71.8,68.7,75.1,74,89,84,87,98,95,68,89,82,83,98,93,59,89,79,74,98,90
Sweden,82.4,80.6,84.1,100,99,99,100,100,100,100,99,99,100,100,100,100,99,99,100,100,100
Switzerland,83.3,81.2,85.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Syrian Arab Republic,63.8,59.4,68.9,91,92,91,95,99,97,90,94,93,93,99,96,88,96,93,90,99,95
Tajikistan,70.8,68.7,73,97,95,97,74,96,80,94,94,94,62,94,70,89,93,90,43,90,56
Thailand,75.5,71.8,79.3,98,99,98,99,100,99,96,95,96,97,99,98,93,89,92,92,98,94
Republic of North Macedonia,75.9,73.8,78,97,100,99,97,91,93,88,97,93,97,94,95,77,91,85,99,100,99
Timor-Leste,68.6,66.8,70.4,43,75,52,67,98,77,37,70,46,55,87,64,0,0,0,0,0,0
Togo,60.6,59.7,61.5,7,28,16,47,88,64,5,27,13,41,85,57,3,24,10,30,79,46
Tonga,73.4,70.5,76.4,92,97,93,100,100,100,90,98,92,99,99,99,86,99,89,99,97,98
Trinidad and Tobago,71.8,68.2,75.6,0,0,93,0,0,98,0,0,93,0,0,96,0,0,90,0,0,92
Tunisia,76,74.1,78.1,81,95,91,88,100,96,69,95,86,79,99,92,48,94,77,71,98,88
Turkey,76.4,73.3,79.4,90,100,97,100,99,99,82,96,92,96,99,98,69,89,82,89,99,95
Turkmenistan,68.2,64.7,71.7,99,97,98,98,100,99,98,93,96,91,98,95,96,89,93,79,96,87
Uganda,62.5,60.2,64.8,16,26,18,40,75,48,16,28,18,31,73,39,15,31,17,19,70,27
Ukraine,72.5,67.6,77.1,94,97,96,99,91,94,92,97,96,97,94,95,89,97,94,95,100,98
United Arab Emirates,77.2,76.5,78.7,0,0,99,0,0,97,0,0,99,0,0,96,0,0,99,0,0,96
United Kingdom of Great Britain and Northern Ireland,81.4,79.7,83.2,99,99,99,100,100,100,99,99,99,100,100,100,99,99,99,100,100,100
