Country,2015,2015capita,2014,2014capita,2013,2013capita,2012,2012capita,2011,2011capita,2010,2010capita,2009,2009capita,2008,2008capita,2007,2007capita,2006,2006capita,2005,2005capita,2004,2004capita,2003,2003capita,2002,2002capia,2001,2001capita,2000,2000capita
Guinea,4.5,57.2,4.3,55.1,4.7,59.5,4.6,57.4,5.1,61.6,4.4,52,4.3,49.6,4.3,50.3,4.6,51.6,4.3,47,4.5,48.2,4.6,47.5,5,50,6,58.5,5.2,48.8,5,44.7
Guinea-Bissau,6.9,100.3,6.3,100.3,4.7,76.1,4.8,74.2,5.4,80.1,6.2,84.2,6.6,67.6,6.8,89.2,6.8,86.4,6.4,78.8,6.3,74.6,6.9,77.6,5.7,62,5.2,54.2,6.1,67.3,6.3,76.7
Guyana,4.5,336.1,5.1,373.2,5,344.4,4.8,314.8,4.9,301.3,4.6,265.6,4.6,249.2,4.2,216.5,4,201.4,4,180.7,5.4,223.8,5,208.2,5.2,201,4.8,187.1,4.5,172.5,4.4,156.7
Haiti,6.9,120.1,7.2,125.1,7.2,122,10.1,162.8,10.6,166.2,10.2,150.4,8.7,135.6,7.7,116.9,6.8,102.2,5.5,79.4,5.5,76.6,5.9,78.7,5.8,79.5,6,81.9,6.6,90.6,6.9,95.2
Honduras,7.6,353.4,7.7,347.2,8.2,355.9,8.4,355.3,7.6,309.2,8.2,320.1,8.5,320.9,8.1,318.5,7.8,293.6,7.5,265.1,7.2,238.3,6.7,206.4,6.8,195.1,6.2,172.2,5.9,159.7,6.3,165.1
Hungary,7.2,1912.1,7.1,1820.1,7.3,1774.7,7.5,1722.3,7.6,1720.5,7.6,1620.2,7.3,1497.2,7.1,1467.8,7.3,1372.3,7.8,1428.5,8,1364.6,7.8,1260.7,8.1,1253.9,7.1,1032.8,6.8,902.9,6.8,802.1
Iceland,8.6,4116.2,8.8,3894.1,8.7,3710.7,8.7,3518.6,8.6,3410.5,8.8,3383.7,9.1,3711.1,8.7,3697.1,8.7,3553.5,8.9,3447.6,9.2,3415.8,9.6,3366.6,10.1,3257.3,9.6,3086,8.9,2807.2,9,2657.4
India,3.9,237.7,3.6,205.8,3.7,197.1,3.3,163.7,3.2,150.5,3.3,145.6,3.5,140.9,3.5,131.9,3.5,126.4,3.6,115.3,3.8,108.5,4,102,4,94.7,4.2,92.6,4.3,89.8,4.2,80.7
Indonesia,3.3,369.3,3.4,362.6,3.4,336.4,3.4,318,3.3,295.4,3.5,285.3,2.8,220.7,2.8,210.2,3.1,215.9,2.9,186.4,2.8,167.6,2.3,130.5,2.4,129.9,2.1,108.1,2.2,107.6,2,92.3
Iran (Islamic Republic of),7.6,1261.7,7.1,1222.6,6.3,1034.5,6.8,1135.1,6.7,1196,7.8,1201,7.5,1088.4,6.1,863.9,5.8,811.7,5.8,760.7,6,718.8,5.8,651.3,5.7,594.9,5.3,504.4,5.8,509,5.2,454.9
Iraq,3.4,481,3.4,440,3.2,438.9,3.2,400.7,2.9,370.2,3.3,402.5,3.8,448.6,3,356.3,3.1,338.8,2.4,260.2,2.9,281.1,3.8,355.1,3,181.7,0,0,0,0,0,0
Ireland,7.8,5334.9,9.9,5099.6,10.4,5045.8,10.1,4687.6,9.9,4524.1,10.5,4566.8,10.5,4382.7,9.1,4059.7,7.8,3696.4,7.5,3374.8,7.6,3128.9,7.2,2824.5,7,2560.3,6.7,2369.7,6.4,2105.7,5.9,1793.8
Israel,7.4,2819.1,7.4,2687.3,7.1,2499.5,7.1,2323.5,7,2194.4,7.1,2087.7,7.1,2007.1,7,1975.3,6.9,1971.2,6.9,1860.4,7.1,1856.6,7,1866.3,7.1,1779.8,7.2,1898.5,7.2,1894,6.8,1773.5
Italy,9,3350.6,9,3274.1,9,3267.4,9,3253.5,8.8,3211.9,9,3145.2,9,3106.2,8.6,3040.1,8.2,2784.2,8.5,2740.6,8.4,2516.9,8.2,2420.9,7.9,2291.7,7.9,2263.5,7.8,2175.6,7.6,2047.8
Jamaica,5.9,511.4,5.5,469.2,5.8,483.8,5.3,429.6,5.5,444,5.4,421.3,5.2,414,5.5,452,5.1,416.6,4.4,345.5,4.1,308.8,4.8,348.1,4.6,318.4,4.9,322.8,5.3,344.5,5.8,365
Japan,10.9,4405.1,10.8,4240.3,10.8,4179.2,10.8,3988.3,10.6,3778.2,9.2,3192.5,9.1,2986.1,8.2,2842.5,7.9,2713.8,7.8,2569.4,7.8,2452.8,7.7,2318.3,7.6,2191.1,7.5,2097,7.4,2013,7.2,1905.7
Jordan,6.3,568.1,7.4,673.5,7.3,666.1,8,729.9,8.3,768.5,8.1,778.8,9.5,896.8,8.8,816.8,8.3,742.5,8.1,677.2,8.9,694.2,9,653.8,9.1,607.5,9.7,618.2,9.9,599.6,9.6,552.5
Kazakhstan,3.9,903.3,3.6,891,3.8,842,4,839,3.6,719.9,4.2,790,4.3,758.4,3.6,663.3,3.2,555.2,3.7,586.6,4,567.1,4,493,3.8,413.8,3.9,363.5,3.6,314.5,4.2,324.4
Kenya,5.2,157.2,5.5,158.3,5.7,157.5,5.7,149.9,5.5,141.8,6.4,155.3,5.3,120.9,4.8,108.5,5,113.5,4.6,98.3,5.1,100.1,5.1,94.2,5.2,91.6,5.5,95.6,5.4,94.3,5.2,88.7
Kiribati,7.6,151.8,9.6,185.9,9.4,177.5,8.7,156.3,8.8,150.1,9.4,158.9,13.7,237.4,14.2,250.6,11.6,207.3,11.7,205,11.5,202.7,12.4,205.4,10.7,178,11.7,191.1,12.1,191.4,8.6,137.5
Kuwait,4,2977.5,3.2,2385.9,2.6,1982.6,2.6,2034.7,2.6,2027.8,2.8,2032,3.9,3071.1,1.9,1739.8,2.1,1946.9,2.3,1990.8,2.4,1979.3,2.8,2083.4,3.2,2182,3.6,2041.4,3.6,2002.1,2.5,1393.9
Kyrgyzstan,8.2,286.6,8.3,281.5,8.2,266.1,8.5,250,7.2,209.4,7.1,194.4,7,193.2,6.6,178.6,6.9,172.3,8.3,187.7,7.5,159.9,6.2,130.2,5.8,111.7,4.6,81,4.3,74.8,4.4,72.3
Lao People's Democratic Republic,2.8,165.8,2.6,140.9,2.7,128.6,2.3,104.3,2.2,89.5,3.2,119.6,4,139.6,3,99.3,3.5,109.4,4.1,121.9,4.8,125.8,4.9,119.4,5,111,4.2,88.2,4.8,89.1,4.7,82.8
Latvia,5.8,1429.3,7.8,1306.9,7.5,1218.9,7.6,1146,7.9,1093.9,8.6,1070,8.9,1029.1,8.5,1086,8.9,1041.3,8.8,900.4,8.9,807.6,9.3,756.9,8.2,602.3,8.5,578.2,8.4,519.6,7.9,433.9
Lebanon,7.4,1117.3,7.4,1140.4,7.5,1172.1,8,1237.9,8.1,1278.6,7.5,1200.2,7.1,1068.4,7.9,1094.1,8.6,1083.3,8.8,983.6,7.6,833,8.1,859,8.6,858.2,9.1,926.7,10.4,1053.6,10.7,1059.9
Lesotho,8.4,251.1,8.6,248.8,7.9,226.9,7.7,213.7,7.2,189.9,6.2,157.9,8.3,195,7.5,164.6,7,147,5.9,105.7,5.3,89.8,5.9,94.3,6,94.8,5.9,88.2,6.3,95.1,5.8,84.3
Liberia,15.2,127.8,14.1,119.2,9.2,76.9,9.3,72.5,10.5,77.3,10,68.7,10.6,71.1,11,56.4,10.3,50.7,8.1,36.5,8.5,36.4,7.9,31.5,3.5,13.3,2.9,16.2,3.7,19.8,3.8,21.5
Libya,0,0,0,0,0,0,0,0,5,627.3,3.4,957.3,3.9,969.2,2.3,561.9,2.4,610.7,2.5,605.2,2.6,603.8,3.5,693.6,4.1,846.4,4.9,852.3,4.1,809,3.4,696.5
Lithuania,6.5,1874.6,6.2,1734.4,6.1,1631.1,6.3,1542.2,6.5,1472.3,6.8,1352.4,7.4,1327.3,6.3,1298.7,5.8,1092.7,5.8,957.2,5.6,810.9,5.5,713.3,6.2,750,6.2,647.5,5.8,549.4,5.8,490.7
Luxembourg,6,6381.5,6.3,6463.3,6.5,6345.9,6.6,6091,6.1,5694.9,7,6089.7,7.3,6097.5,6.5,5725,6.2,5275.2,6.7,5272.9,7.2,4942.5,7.3,4741.4,7,4216.5,6.7,3978.7,6.4,3612,5.9,3284
Madagascar,5.2,76.7,4.9,70.5,4,57,3.8,53.1,5,68.4,5.4,72.9,5.1,69.9,4.6,67.7,5.3,72.8,5.6,72.9,5.5,68.2,5.5,65.2,4.8,54,5.9,60.8,5.7,69,5.3,61.2
Malawi,9.3,108.2,9.7,111.6,11.6,127.3,8.5,89.8,7.5,78.8,7.2,73.3,8.3,79.7,8.6,78.3,7.7,65.6,6.9,54.2,6.1,45.3,5.7,41.4,4.7,32,3.9,25.3,3.7,24,4.4,29.9
Malaysia,4,1063.9,3.9,991.5,3.7,882.8,3.6,835.1,3.5,758.1,3.3,688.5,3.4,687.7,3.1,645.6,3.3,656.6,3.3,596.2,2.9,500,3,497.2,3,467.2,2.7,399.1,2.7,374.3,2.4,338
