Country,2017 Rural,2017 Urban,2017 Total,2016 Rural,2016 Urban,2016 Total,2015 Rural,2015 Urban,2015 Total,2014 Rural,2014 Urban,2014 Total,2013 Rural,2013 Urban,2013 Total,2012 Rural,2012 Urban,2012 Total,2011 Rural,2011 Urban,2011 Total,2010 Rural,2010 Urban,2010 Total,2009 Rural,2009 Urban,2009 Total,2008 Rural,2008 Urban,2008 Total,2007 Rural,2007 Urban,2007 Total,2006 Rural,2006 Urban,2006 Total,2005 Rural,2005 Urban,2005 Total,2004 Rural,2004 Urban,2004 Total,2003 Rural,2003 Urban,2003 Total,2002 Rural,2002 Urban,2002 Total,2001 Rural,2001 Urban,2001 Total,2000 Rural,2000 Urban,2000 Total
Germany,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Ghana,12,24,18,11,23,18,11,22,17,10,22,16,10,21,16,9,21,15,9,20,15,8,19,14,8,19,13,7,18,13,7,18,12,6,17,12,6,16,11,6,16,10,5,15,10,5,15,9,4,14,9,4,14,9
Greece,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,97,99,99,97,99,98,97,99,98,97,99,98,96,99,98,96,99,98,95,99,98,95,99,98,95,99,98,95,99,98,95,99,97,94,98,97
Grenada,,,91,,,91,,,91,,,91,,,91,,,92,,,92,,,92,,,92,,,92,,,92,,,91,,,91,,,91,,,91,,,90,,,90,,,90
Guatemala,51,79,65,50,79,65,50,80,65,50,80,65,50,80,65,50,80,65,50,80,65,50,80,65,50,80,65,50,80,64,50,81,64,49,81,64,49,81,64,49,81,64,49,81,64,49,81,64,48,81,63,48,82,63
Guinea,17,34,23,16,33,22,15,32,21,14,32,20,13,31,19,13,31,19,12,30,18,11,30,17,10,29,17,9,29,16,9,28,15,8,28,14,7,27,13,6,27,13,5,26,12,5,25,11,4,24,10,3,24,9
Guinea-Bissau,8,37,21,8,37,20,8,36,20,8,35,19,8,34,19,7,33,18,7,33,17,7,32,17,7,31,16,7,30,16,6,29,15,6,29,15,6,28,14,6,27,14,5,26,13,5,26,13,5,25,12,4,25,12
Guyana,84,92,86,84,92,86,83,91,85,83,91,85,83,90,85,82,90,84,82,89,84,81,89,83,81,88,83,81,88,82,80,87,82,80,87,82,79,86,81,79,86,81,79,85,80,78,85,80,77,85,79,77,84,79
Haiti,24,44,35,23,43,34,22,42,33,22,41,31,21,40,30,20,39,29,19,38,28,18,37,27,18,36,26,17,35,25,16,34,24,15,33,23,15,32,22,14,31,21,13,30,20,12,29,19,11,29,18,11,28,17
Honduras,76,85,81,74,85,80,73,84,79,72,84,78,70,83,77,69,83,76,67,82,75,66,81,74,65,81,73,63,80,72,62,80,71,60,79,70,59,79,69,58,78,67,56,77,66,55,77,65,53,76,64,52,76,63
Hungary,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98,99,98,98
Iceland,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99,100,99,99
India,53,72,60,50,71,57,47,69,54,44,68,52,41,67,49,38,65,47,35,64,44,32,62,41,29,61,39,26,60,36,23,58,34,20,57,31,18,56,29,15,54,26,12,53,24,9,52,21,6,50,19,4,49,16
Indonesia,65,80,73,62,79,71,59,78,69,57,77,67,54,76,66,52,75,64,50,74,62,47,73,60,45,72,58,43,71,56,40,70,54,38,69,52,36,68,51,34,67,49,32,66,47,30,65,45,27,64,43,25,63,41
Iran (Islamic Republic of),79,92,88,79,92,88,79,92,88,79,92,88,79,92,88,79,92,88,79,92,88,79,92,88,79,92,88,79,92,88,79,92,88,79,92,88,79,92,88,79,92,88,79,92,88,79,92,87,79,92,87,79,92,87
Iraq,88,97,94,86,95,92,84,94,91,81,92,89,79,91,87,77,90,86,75,88,84,73,87,82,71,85,81,69,84,79,67,83,78,65,81,76,63,80,74,61,78,73,60,78,72,58,78,72,57,78,71,56,78,71
Ireland,94,89,91,94,89,91,94,89,91,94,89,91,94,89,91,94,89,91,93,89,91,93,89,91,93,89,90,93,89,90,93,89,90,93,89,90,92,88,90,92,88,90,92,88,90,92,88,90,92,88,90,92,88,90
Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,
Jamaica,90,86,87,90,86,87,89,85,87,88,85,87,88,85,86,87,84,86,87,84,85,86,84,85,86,84,85,85,83,84,85,83,84,84,83,84,84,83,83,83,82,83,83,82,82,82,82,82,82,82,82,82,82,82
Japan,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Jordan,96,97,97,96,98,97,97,98,98,97,98,98,97,98,98,97,98,98,97,98,98,97,98,98,97,98,98,97,98,98,97,98,98,97,98,98,98,98,98,98,98,98,98,99,98,98,99,98,98,99,98,98,99,98
Kazakhstan,99,97,98,99,97,98,99,97,98,99,97,98,98,97,98,98,97,98,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
