Country,2017 Rural,2017 Urban,2017 Total,2016 Rural,2016 Urban,2016 Total,2015 Rural,2015 Urban,2015 Total,2014 Rural,2014 Urban,2014 Total,2013 Rural,2013 Urban,2013 Total,2012 Rural,2012 Urban,2012 Total,2011 Rural,2011 Urban,2011 Total,2010 Rural,2010 Urban,2010 Total,2009 Rural,2009 Urban,2009 Total,2008 Rural,2008 Urban,2008 Total,2007 Rural,2007 Urban,2007 Total,2006 Rural,2006 Urban,2006 Total,2005 Rural,2005 Urban,2005 Total,2004 Rural,2004 Urban,2004 Total,2003 Rural,2003 Urban,2003 Total,2002 Rural,2002 Urban,2002 Total,2001 Rural,2001 Urban,2001 Total,2000 Rural,2000 Urban,2000 Total
Gabon,55,90,86,55,90,86,55,90,85,54,89,85,53,90,85,52,90,85,50,90,84,49,90,84,48,90,84,47,90,83,46,90,83,45,90,83,43,90,82,42,91,82,41,91,81,40,91,81,38,91,80,37,91,80
Gambia,63,87,78,63,87,78,63,87,78,64,87,77,64,87,77,64,87,77,65,86,77,65,86,77,65,86,76,65,85,76,66,85,76,66,85,76,66,84,76,67,84,76,67,84,75,67,83,75,68,83,75,68,83,75
Georgia,96,100,98,96,100,98,95,100,98,95,100,98,93,100,97,92,99,96,92,99,96,91,99,96,91,99,95,90,99,95,90,99,95,90,99,95,89,99,94,89,99,94,88,99,94,88,99,93,87,98,93,87,98,93
Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ghana,68,93,81,67,92,80,66,91,79,65,90,78,65,89,77,64,88,76,63,87,75,62,86,74,61,85,73,61,84,72,60,83,71,59,83,70,58,82,69,57,81,68,57,80,67,56,79,66,55,78,65,54,78,64
Greece,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100
Grenada,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,95,,,95,,,95,,,95,,,94,,,94,,,94,,,94,,,94,,,93
Guatemala,90,98,94,90,98,94,89,98,93,88,97,93,88,97,92,87,97,92,86,97,91,85,97,91,85,96,90,84,96,90,83,96,89,83,96,89,82,96,88,81,95,88,81,95,87,80,95,87,79,95,86,78,95,86
Guinea,49,86,62,49,86,62,50,86,62,50,85,62,51,85,63,51,85,63,51,85,63,52,85,63,52,85,63,52,85,63,52,85,63,53,85,63,53,85,63,53,85,63,53,85,63,53,85,63,53,84,63,53,84,63
Guinea-Bissau,53,84,67,53,84,67,53,84,66,52,83,65,51,82,64,51,82,63,50,81,63,49,81,62,48,80,61,48,79,60,47,79,59,46,78,58,45,78,58,45,77,57,44,76,56,43,76,55,42,75,54,41,74,53
Guyana,94,100,96,94,100,96,93,100,95,93,100,95,92,99,94,92,98,94,91,98,93,91,97,93,90,97,92,90,97,92,89,96,91,89,96,91,88,95,90,88,95,90,87,94,89,87,94,89,86,93,88,86,93,88
Haiti,43,85,65,43,85,65,42,85,65,42,85,64,42,85,64,42,85,63,42,85,63,42,85,62,42,85,62,42,85,61,41,85,61,41,85,60,41,85,60,41,85,59,41,85,59,41,85,58,41,85,57,40,85,56
Honduras,89,99,95,88,99,94,87,99,94,87,99,93,86,98,93,85,98,92,84,98,92,84,98,91,83,98,90,82,97,90,81,97,89,81,97,89,80,97,88,79,96,87,78,96,87,78,96,86,77,96,85,76,95,85
Hungary,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Iceland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
India,91,96,93,90,96,92,89,95,91,88,95,90,87,95,89,86,95,89,85,94,88,84,94,87,83,94,86,82,93,85,81,93,84,80,93,84,79,93,83,78,92,82,77,92,81,76,92,80,75,92,80,74,91,79
Indonesia,82,95,89,81,95,89,80,95,88,79,94,87,78,94,87,77,94,86,76,93,85,76,93,84,75,93,84,74,92,83,73,92,82,72,92,81,71,91,80,70,91,79,69,91,78,68,90,78,67,90,77,66,90,76
Iran (Islamic Republic of),89,97,95,89,97,95,89,97,95,89,97,95,89,97,95,89,97,95,89,98,95,89,98,95,89,98,95,89,98,95,89,98,95,90,98,95,90,98,95,90,98,95,90,98,95,90,98,95,90,98,95,90,98,95
Iraq,91,99,97,89,99,96,87,98,95,84,98,94,82,98,93,80,97,92,78,97,91,75,97,90,73,96,89,71,96,88,69,96,87,66,95,86,64,95,85,62,95,84,60,94,83,57,94,82,55,94,81,53,94,81
Ireland,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,98,97,97,97,97,97,97,97,97
Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
